drop_reason,strategy_name,approach,asset_class,entry_rules,exit_rules,url
not_rule_based,Zero DTE (Zero Day-To-Expiration) Options Trading Bot,ML,"Options (SPY, ES)","Position asymmetry (trapped traders, hedged positions); capitulation moves (high volume spikes); opening range breakout patterns; IV vs realized volatility mispricing","Execution timing-based (seconds/minutes, not direction guessing); close before end of trading day",https://www.youtube.com/watch?v=lmLHHWliBy8
no_strategy,,,,,,https://www.youtube.com/watch?v=auxznudVDiQ
not_rule_based,Apple Stock Price Prediction using LSTM,deep-learning,Equities,Not specified,Not specified,https://www.youtube.com/watch?v=Xr4DJFH5uYk
not_rule_based,Stock Trend Prediction using Moving Averages and LSTM,deep-learning,Equities,Buy when 100-day MA > 200-day MA (uptrend),Sell/short when 200-day MA crosses above 100-day MA (downtrend),https://www.youtube.com/watch?v=k-l4mds1EIU
not_rule_based,Deep Q-Learning Agent for Bitcoin Trading,RL,Cryptocurrency,Agent takes actions based on epsilon-greedy policy; epsilon controls exploration vs exploitation balance,Done flag triggered by environment rules; agent learns target Q-values using Bellman equation,https://www.youtube.com/watch?v=GZ6vsai8T0M
no_strategy,,,,,,https://www.youtube.com/watch?v=PFq-DTA1nd4
no_strategy,,,,,,https://www.youtube.com/watch?v=qAHiLrpAUOQ
no_strategy,,,,,,https://www.youtube.com/watch?v=swVSVIJZfl0
not_rule_based,Cryptocurrency Price Forecasting,ML,cryptocurrency,,,https://www.youtube.com/watch?v=yDG5jMbQTw8
no_strategy,,,,,,https://www.youtube.com/watch?v=CZtrN754qW0
no_strategy,,,,,,https://www.youtube.com/watch?v=G-FK3NZtTm4
no_nameable_indicator,Habachi-Pacifica Cross Exchange Arbitrage Bot,rule-based,Crypto perpetual futures,Identify price discrepancies between Habachi and Pacifica exchanges; size position at 49% of the exchange with less capital; place limit orders on both exchanges,"Take profit at 0.5%, stop loss at 0.9%; cooldown period of 5+ minutes between entries; close positions when liquidation triggers or manually",https://www.youtube.com/watch?v=n5TytN0gB0E
not_rule_based,Stock Price Prediction using LSTM,deep-learning,Equities,,,https://www.youtube.com/watch?v=nu6dd_hgJOs
not_rule_based,Machine Learning Pattern Recognition for Forex Trading,ML,Forex,"When current pattern matches historical patterns with similarity score > 40, enter trade based on predicted outcome from similar historical patterns",Not explicitly defined in transcript,https://www.youtube.com/watch?v=2VVKW5uhZUM
not_rule_based,LSTM Stock Return Prediction Trading,deep-learning,equities,Buy stocks with highest predicted probability of positive next-day return; allocate capital proportionally to predicted probability; only trade stocks showing 0-10% improvement over baseline accuracy,Not explicitly specified; implied daily rebalancing,https://www.youtube.com/watch?v=-uqNYTUTqdc
not_rule_based,Sentiment Analysis (Fear and Greed Index) for Bitcoin Entry Timing,sentiment,Cryptocurrency (Bitcoin),"Buy when Fear and Greed Index closes below a threshold (tested thresholds: 10, 20, 30). Accumulate capital until signal is met, then invest lump sum plus daily $100.",Not tested; study focused on entry timing only,https://www.youtube.com/watch?v=wExaqirx7kA
not_rule_based,Stock Price Movement Classification,ML,Equities,Classifier predicts buy (1) when percent change expected to exceed threshold (2-2.8%),Classifier predicts sell (-1) when percent change expected to drop below threshold; hold (0) otherwise,https://www.youtube.com/watch?v=W4kqEvGI4Lg
not_rule_based,Tesla Stock Price Forecasting,ML,Equities,Not specified,Not specified,https://www.youtube.com/watch?v=6-xYJTvQP3I
not_rule_based,Multi-Agent Deep Deterministic Policy Gradient (MADDPG) for Stock Portfolio Allocation,RL,Equities,Agents can buy up to 5 stocks per day based on learned policy,Agents can sell up to 5 stocks per day based on learned policy,https://www.youtube.com/watch?v=p-f2kphZaKg
not_rule_based,Bitcoin Price Prediction using LSTM,deep-learning,Cryptocurrency,Not specified,Not specified,https://www.youtube.com/watch?v=21w9zWkuM9E
not_rule_based,Reinforcement Learning Bitcoin Trading Algorithm,RL,Cryptocurrency,Buy on small drawdowns with momentum signals,Sell on peak recognition after pullback,https://www.youtube.com/watch?v=3Kqy7HIJiiY
no_strategy,,,,,,https://www.youtube.com/watch?v=lUbU3rmQ9Po
no_strategy,,,,,,https://www.youtube.com/watch?v=fcQPTX8TbQY
not_rule_based,Stock Price Prediction using LSTM,deep-learning,Equities,"Not applicable - prediction model, not a trading strategy","Not applicable - prediction model, not a trading strategy",https://www.youtube.com/watch?v=DWfKijOqVtg
not_rule_based,LSTM Deep Learning Stock Price Prediction,deep-learning,Equities,Model predicts closing price direction; used as analytical tool for educated guesses about market direction,Not specified,https://www.youtube.com/watch?v=ftMq5ps503w
not_rule_based,TJ's Liquidity Sweep Strategy,ML,Forex/Commodities (Gold/XUSD),AI agent analyzes smart money and ICT concepts combined with sentiment; holds when no clear entry or high-risk news present,Not explicitly stated,https://www.youtube.com/watch?v=W1Yn2G9Bbl8
no_strategy,,,,,,https://www.youtube.com/watch?v=-TObBHDcINw
not_rule_based,Deep Reinforcement Learning for Trading,deep-learning,"Multi-asset (Commodities, Equities, Fixed Income, Forex)","Discrete actions (-1, 0, 1) for DQN; continuous actions (-1 to 1) for PG and A2C based on neural network output from state space",Position changes based on reward function feedback; agent learns to optimize cumulative rewards through trial-and-error and policy optimization,https://www.youtube.com/watch?v=PwoTb-SxoC0
no_strategy,,,,,,https://www.youtube.com/watch?v=GtNUj6zy2JA
no_concrete_exit,Timeality Trading Strategy,rule-based,Crypto (Solana/SOL-USD),Trade only on Thursdays and Tuesdays at 11 UTC based on backtested timeality results,Not explicitly specified,https://www.youtube.com/watch?v=rKpnPyzH6r4
not_rule_based,Contrarian Sentiment-Based Trading Bot,sentiment,Crypto,Buy when negative sentiment score exceeds 0.99 probability threshold (contrarian approach); long-only strategy with 1.5% take-profit and 70% stop-loss,Take-profit at 1.5% above entry; stop-loss at 70% below entry; close positions on opposite signals,https://www.youtube.com/watch?v=cYqNBY7i0hI
no_strategy,,,,,,https://www.youtube.com/watch?v=_wZoyDdbK6M
no_strategy,,,,,,https://www.youtube.com/watch?v=urg57qLyKck
no_strategy,,,,,,https://www.youtube.com/watch?v=S7hGORmmz-w
not_rule_based,5-Minute Close Bot with HMM Regime Filter,ML,"Crypto (Polymarket, Hyperliquid)","Trade on close based on detected market regime; more aggressive in trending markets, less aggressive in choppy markets",Not explicitly detailed,https://www.youtube.com/watch?v=jmpeUtIsRpM
not_rule_based,CNN-BiLSTM-AM with Fuzzy Twin SVM for Stock Price Trend Prediction,deep-learning,Stocks,Predict next-day stock price trend (up/down) based on technical indicator images and social media sentiment,Classification output with fuzzy membership degree between 0 and 1; higher confidence indicates stronger prediction,https://www.youtube.com/watch?v=ZITEbZHF6ts
no_strategy,,,,,,https://www.youtube.com/watch?v=MIcTQTNfXj8
no_strategy,,,,,,https://www.youtube.com/watch?v=1tk0IySPFgA
not_rule_based,LSTM Bitcoin Price Prediction,deep-learning,Cryptocurrency,Not specified,Not specified,https://www.youtube.com/watch?v=Sf3sKywKC7o
pure_discretionary,ICT Smart Money Structure-Based Trading Bot,rule-based,Forex (EUR/USD),Enter when price returns to unmitigated fair value gap after market structure shift (higher highs/lows or lower lows); only during London and New York sessions; max 2 trades per day; avoid trading within 30 minutes of high-impact news,Stop loss below last swing low (longs) or above last swing high (shorts); take profit at 2R (2x risk),https://www.youtube.com/watch?v=eA5w7C56Xzg
no_strategy,,,,,,https://www.youtube.com/watch?v=6jVEtAECffA
not_rule_based,LSTM Stock Price Predictor with Multi-Horizon Returns and Uncertainty Quantification,deep-learning,Equities,"Buy stock with highest normalized return across multiple time horizons (1-day, 1-week, 1-month, 6-month); only execute trade if adjusted prediction (return minus uncertainty penalty) remains positive and probability of positive return exceeds 70%","Sell at end of selected time horizon window; if 1-day window selected, sell at close next day; if 1-week selected, hold approximately 1 week, etc.",https://www.youtube.com/watch?v=V2l7cZxUpQs
not_rule_based,LSTM-based Stock Price Prediction,deep-learning,"Equities, ETFs, Cryptocurrency",Not specified,Not specified,https://www.youtube.com/watch?v=TIafmuQ68R8
prediction_market_or_sports,ESPN Data Latency Arbitrage on Kalshi,rule-based,Sports betting contracts,"Buy contract when ESPN win probability spikes above configured threshold (e.g., 3%)",Sell at 95 cents or after configured time period,https://www.youtube.com/watch?v=bA_NUrMJuw4
no_strategy,,,,,,https://www.youtube.com/watch?v=Y-BqM3WaX-I
prediction_market_or_sports,Stink Bid Bot for E-Sports Markets,rule-based,Prediction Markets (Polymarket),Place bids at X% below current price on favored team; only during first half of game duration (stops at halfway point); bet size $5,Average holding duration 2-3 hours; stops placing bids at game halfway point,https://www.youtube.com/watch?v=gcA2c4Ir6Ec
not_rule_based,LSTM-based Stock Price Prediction with Moving Average Analysis,deep-learning,Stocks,Not explicitly defined; model predicts next-day closing price based on past 100 days,Not explicitly defined,https://www.youtube.com/watch?v=P3JlMWoP3fE
not_rule_based,Hybrid ARMA and Neural Network Stock Market Prediction System,deep-learning,stocks,Invest in markets showing downward prediction from hybrid model,Not specified,https://www.youtube.com/watch?v=qqYKX085n3s
not_rule_based,RNN-based Technical Analysis and Trade Signal Generation,deep-learning,"stocks, crypto, currencies",RNN calculates ideal entry point for maximum profit,Reliable stop-loss calculated by RNN; automatic trade filtering to exclude losing options,https://www.youtube.com/watch?v=lzsfknm-v_A
no_strategy,,,,,,https://www.youtube.com/watch?v=a-vngRRMgqU
not_rule_based,LSTM Stock Price Prediction,deep-learning,Equities,Not specified for trading,Not specified for trading,https://www.youtube.com/watch?v=k1mE5T3_6vQ
not_rule_based,S&P 500 Daily Direction Prediction using Deep Learning and XGBoost,deep-learning,Equities (S&P 500 ETF),Predict if tomorrow's close will be up or down based on 10-day sequences of price and volume,Not explicitly defined,https://www.youtube.com/watch?v=wn7o_Dcv_7w
not_rule_based,ARMA GARCH with Equity Curve Feedback Voting Scheme,ML,Equity Index Futures (ES),"Long: prediction > 0, close < open, at least one equity curve momentum >= 0. Short: prediction < 0, close > open, at least one equity curve momentum >= 0. Use voting scheme: select prediction with higher equity curve momentum.",Not explicitly specified,https://www.youtube.com/watch?v=AyH-0Ci41hY
not_rule_based,XGBoost Order Book Classification for Cryptocurrency Price Prediction,ML,Cryptocurrency,"Classification predicts if price will go up, down, or stay same in next 1 hour based on order book and price data",Not specified,https://www.youtube.com/watch?v=0rupIt9CWNc
not_rule_based,Deep Learning Model for Bank Nifty Price Prediction,deep-learning,Index (Bank Nifty) and underlying stocks,Long position when both index and stock models predict price increase; Short position when both predict decrease,Not explicitly stated,https://www.youtube.com/watch?v=CzKxUir0i6s
not_rule_based,CNN-based Stock Price Prediction,deep-learning,stocks,not specified,not specified,https://www.youtube.com/watch?v=ZQhzP1TqM8Y
no_concrete_exit,ChatGPT-Built Breakout Trading Bot,rule-based,unspecified,Breakout detection rules generated by ChatGPT,unspecified,https://www.youtube.com/watch?v=LTuSBMgjR0U
no_strategy,,,,,,https://www.youtube.com/watch?v=EjXW2SKUfTk
not_rule_based,Deep Q-Learning Network with LSTM Price Prediction,deep-learning,stocks,Agent takes buy/sell/hold actions based on Q-value function learned from DQN; buy action executes with trading commission,Sell action liquidates all shares; hold action maintains position,https://www.youtube.com/watch?v=tXKDn7HIkn4
no_concrete_exit,Pattern Recognition for Automated Trading,rule-based,"Financial instruments (unspecified, likely forex/stocks based on tick data)",When current price pattern matches historical patterns,Not specified,https://www.youtube.com/watch?v=HwrG_NIs35A
not_rule_based,Q-Learning Reinforcement Learning Trading Algorithm,RL,Financial instruments (unspecified),"RL agent learns optimal actions: increase profit margin, decrease profit margin, decrease loss margin, open buy (when no position)",Agent learns exit policy through Q-value updates; terminates episodes and reinitializes states,https://www.youtube.com/watch?v=gcccEYdzEaQ
not_rule_based,Facebook Prophet Time Series Prediction for Cryptocurrency Price Forecasting,deep-learning,Cryptocurrency,Not specified,Not specified,https://www.youtube.com/watch?v=oyL99oa6gf8
not_rule_based,Graco Oma,ML,"ETFs, Stocks",Algorithm-generated buy signals from optimized Oma inputs,Algorithm-generated sell signals from optimized Oma inputs,https://www.youtube.com/watch?v=g7yJxrjimSQ
not_rule_based,Reinforcement Learning for Stock Trading,RL,Equities,Agent learns to buy/sell/hold based on state (price + indicators + derived features),Agent learns to sell/hold based on portfolio value reward signal,https://www.youtube.com/watch?v=kO7Z8x-kNjQ
not_rule_based,AI-Powered Algorithmic Day Trading with Transformer Model,deep-learning,"Cryptocurrency (Bitcoin/BTC-USD), extensible to stocks",Buy signal (output=1) from transformer model on volatile price movements,Sell signal (output=-1) or Hold signal (output=0) from transformer model; avoid large price swings/gaps,https://www.youtube.com/watch?v=kx3OjsjSLlA
not_rule_based,Reinforcement Learning Trading AI Agent,RL,Forex,Agent learns to take long or short positions based on policy learned from historical data; three stop-loss options (60/90/120 pips) and three take-profit options (60/90/120 pips),"Stop-loss and take-profit levels set by agent; if candle touches both simultaneously, treated as loss",https://www.youtube.com/watch?v=oW4hgB1vIoY
not_rule_based,Trading Way AI,deep-learning,"Multi-asset (cryptocurrencies, forex, stocks)",Not specified,Not specified,https://www.youtube.com/watch?v=54QygAzwdKU
pure_discretionary,Multi-Timeframe Support and Resistance Structure Trading,rule-based,Forex,Enter on lower timeframe (1H or 4H) when price approaches a major structure level (support/resistance) that has been tested multiple times and is the most recent level broken; requires entry reason on smaller timeframe,Take profits on lower timeframe moves (typically 100-400 pips); stop loss placed above/below zone depending on trade direction,https://www.youtube.com/watch?v=00KIOxpgwOg
not_rule_based,Machine Learning Stock Outperformance Prediction,ML,Equities,Buy stocks predicted by ML model to outperform market over 1 year,"Hold for 1 year, then reassess; potential stop-loss on fundamental deterioration",https://www.youtube.com/watch?v=1dk9NO2M41E
not_rule_based,AI Agent Directed Hedge Fund,ML,Equities,"Quantitative strategist synthesizes market data, sentiment analysis, and macroeconomic insights to generate investment strategy","Risk manager evaluates volatility, liquidity constraints, and market instability before finalizing decision",https://www.youtube.com/watch?v=JqTL5r68j28
no_strategy,,,,,,https://www.youtube.com/watch?v=nhg32mKpSkQ
no_strategy,,,,,,https://www.youtube.com/watch?v=avdyiDsg0Mw
no_strategy,,,,,,https://www.youtube.com/watch?v=F8fX3HLBH_w
not_rule_based,Google Stock Price Prediction with Economic Indicators,deep-learning,Equities,Not specified,Not specified,https://www.youtube.com/watch?v=nTmrQHIU1Sw
no_strategy,,,,,,https://www.youtube.com/watch?v=gFI9R23j8BY
no_nameable_indicator,AI Crypto Arbitrage Bot,rule-based,Cryptocurrency,Execute trades when profitable arbitrage opportunity detected across exchanges,Withdraw funds via smart contract withdrawal function,https://www.youtube.com/watch?v=CV09b27re6A
no_strategy,,,,,,https://www.youtube.com/watch?v=Dkozn_kNvCA
not_rule_based,"Multiple strategies: Mean Reversion (Bollinger Bands), VWAP Trend, Momentum Breakout, Break of Structure, Swing Failure Pattern, Liquidation-based strategies",ML,Crypto (implied from Hyperliquid reference),"Mean reversion on Bollinger Bands, VWAP trend following, momentum breakout, break of structure, swing failure pattern",Not explicitly detailed,https://www.youtube.com/watch?v=r5iKYd1AIbE
not_rule_based,LSTM Price Movement Prediction,deep-learning,"stocks, forex, cryptocurrency",Model predicts price movement (pips up/down) over next candle period,Not specified,https://www.youtube.com/watch?v=lhrCz6t7rmQ
not_rule_based,Multiple AI-Generated Trading Strategies (4 total),ML,Equities/ETFs,Daily target allocation rebalancing; momentum-based asset selection; conditional switches based on drawdown thresholds and inflation rates,Rebalance if holdings defer by 5% from target; switch to risk-off mode if QQQ 10-day max drawdown > 6%; switch strategies based on inflation rate thresholds,https://www.youtube.com/watch?v=5G1_zRME_pY
no_strategy,,,,,,https://www.youtube.com/watch?v=UOUECDOCbak
not_rule_based,Sentiment-Based Long Trading Strategy,sentiment,Equities,Buy if sentiment > 5 AND no current position AND cash > investment_size,Sell all shares if sentiment <= -1,https://www.youtube.com/watch?v=Iscwah5kSTM
not_rule_based,LSTM Stock Price Prediction for Apple Inc.,deep-learning,Equities,Not specified - prediction model only,Not specified - prediction model only,https://www.youtube.com/watch?v=QIUxPv5PJOY
no_strategy,,,,,,https://www.youtube.com/watch?v=YF6o76k0DU8
no_strategy,,,,,,https://www.youtube.com/watch?v=fL4lGl5CoTM
not_rule_based,Moving Average Crossover with LSTM Meta-labeling,deep-learning,Stocks/General,Enter when two moving averages cross each other,"Not explicitly defined; labels set to 1 (profit), -1 (loss), 255 (other)",https://www.youtube.com/watch?v=jkKxTuZnDt8
not_rule_based,Stock Price Prediction with Linear Regression,ML,Equities,Not specified,Not specified,https://www.youtube.com/watch?v=4XxI0ffBnE4
no_strategy,,,,,,https://www.youtube.com/watch?v=c6_cW8-wBIk
no_strategy,,,,,,https://www.youtube.com/watch?v=q_HS4s1L8UI
no_strategy,,,,,,https://www.youtube.com/watch?v=Js_7NsZCmAQ
not_rule_based,Deep Learning Stock Price Direction Prediction,deep-learning,Cryptocurrency (ETH),"Classification into three directions: up (price increases >1%), down (price decreases >1%), stationary (movement ≤1%)",Not specified,https://www.youtube.com/watch?v=yYPhOFfstLY
not_rule_based,Random Forest Regression Model for Forex Trading,ML,Forex (EUR/USD),Buy signal when predicted price > actual close price of the day,Not explicitly stated,https://www.youtube.com/watch?v=rjrfVrGpAC8
no_strategy,,,,,,https://www.youtube.com/watch?v=kXjuecwc3dM
no_strategy,,,,,,https://www.youtube.com/watch?v=9wzeTSvSE24
no_strategy,,,,,,https://www.youtube.com/watch?v=IcowAwJ0GjM
no_strategy,,,,,,https://www.youtube.com/watch?v=2vQfMAEu670
no_nameable_indicator,Linear Regression Stock Price Prediction,rule-based,Equities,"Buy at predicted low price (e.g., 311.5 for ICICI)",Sell when price reaches predicted closing level or falls to predicted support,https://www.youtube.com/watch?v=R7-AloTiA1M
no_strategy,,,,,,https://www.youtube.com/watch?v=yYr5fGF6sh0
not_rule_based,LSTM Ensemble Stock Selection Strategy,deep-learning,Equities (S&P 500 stocks),"For 12-stock version: predict percent change for each stock using ensemble LSTM average; buy top 3 stocks by highest average prediction. For S&P 500 sum version: if next day prediction > today's price, buy.","Sell at market close (intraday) or at end of test period (February 4, 2026)",https://www.youtube.com/watch?v=XiWJPBFV4iM
no_strategy,,,,,,https://www.youtube.com/watch?v=zT33xuFbLfQ
not_rule_based,Time Series Price Prediction using LSTM,deep-learning,"stocks, cryptocurrency",predict next day closing price using last 60 days of historical data,not specified,https://www.youtube.com/watch?v=c3O5bb6aftg
not_rule_based,Cryptocurrency Price Movement Prediction with RNN,deep-learning,Cryptocurrency,Binary classification: predict upward or downward price movement,Not specified,https://www.youtube.com/watch?v=yWkpRdpOiPY
no_strategy,,,,,,https://www.youtube.com/watch?v=zZs2UE-yEMo
not_rule_based,Facebook Prophet Stock Price Forecasting,deep-learning,Stocks,Not specified,Not specified,https://www.youtube.com/watch?v=GkF1MDesMTs
not_rule_based,Reinforcement Learning-Based Trading Strategy,RL,stocks,agent learns to buy through trial and error,agent learns to sell through trial and error,https://www.youtube.com/watch?v=ryzBImTwiiE
not_rule_based,LSTM Price Movement Prediction,deep-learning,"Forex, Stocks, Crypto",Not specified,Not specified,https://www.youtube.com/watch?v=hpfQE0bTeA4
no_strategy,,,,,,https://www.youtube.com/watch?v=tvXw2Jfqz9w
no_strategy,,,,,,https://www.youtube.com/watch?v=1sZS8q6Zg0k
not_rule_based,Reinforcement Learning Trading Agent with DQN,RL,Equities (simulated),"Agent learns to buy or sell based on state; actions: buy, sell, skip, close position",Close position action; episode ends after 10 steps (all 20 prices revealed),https://www.youtube.com/watch?v=RyKvndUwPmI
no_strategy,,,,,,https://www.youtube.com/watch?v=R9NIw77BIh0
not_rule_based,Deep Neural Network Market Direction Classification,deep-learning,Forex (EUR/USD),Long position if DNN prediction > 0.5; Short position if prediction <= 0.5,Exit based on next day's prediction signal,https://www.youtube.com/watch?v=B0Jw0B61ANU
not_rule_based,Multi-Objective Reinforcement Learning Market Making,RL,Equities/Financial Markets,AI adjusts bid-ask spreads and inventory holding based on AIF parameter; low AIF (0.2) = cautious narrow spreads; high AIF (2-105) = dynamic sharp price adjustments,Risk-adjusted position management; balances speed of trades against market volatility exposure,https://www.youtube.com/watch?v=Is7dPbUnPTE
not_rule_based,LSTM Stock Price Prediction,deep-learning,Stocks,Not specified,Not specified,https://www.youtube.com/watch?v=ptKXPO7mJGw
no_strategy,,,,,,https://www.youtube.com/watch?v=aIklUbW0UWI
no_strategy,,,,,,https://www.youtube.com/watch?v=6Ln7uRCQBHA
no_strategy,,,,,,https://www.youtube.com/watch?v=FRDKeNEeNAQ
no_strategy,,,,,,https://www.youtube.com/watch?v=KUFmCwCVXWs
no_strategy,,,,,,https://www.youtube.com/watch?v=Fsvds-d2P-o
not_rule_based,Stock Price Prediction using Machine Learning,ML,stocks,Not applicable,Not applicable,https://www.youtube.com/watch?v=iRs8zhOK1SA
no_concrete_exit,Co-integration Trading Strategy,rule-based,Equities,Go long when Z-score is highly negative; go short when Z-score is positive,Not specified in transcript,https://www.youtube.com/watch?v=qUMW9LEv4Qw
no_strategy,,,,,,https://www.youtube.com/watch?v=w-RP-N8ZJGI
not_rule_based,Apple Stock Price Prediction using Linear Regression,ML,Stocks,Not specified,Not specified,https://www.youtube.com/watch?v=YtcRpqByF8g
no_strategy,,,,,,https://www.youtube.com/watch?v=8z-ieqoZG8E
no_nameable_indicator,"Fear & Greed Index Strategy, Put Call Ratio Strategy, VIX Strategy",rule-based,Equities (SPY/S&P 500),Fear & Greed: buy when index < 5-20 (extreme fear); Put Call: buy when ratio > 1.0-1.05 (fear); VIX: buy when VIX > 35,Fear & Greed: sell when index > 80-94 (extreme greed); Put Call: sell when ratio < 0.45-0.5 (greed); VIX: sell based on position management,https://www.youtube.com/watch?v=V8_03v2TX08
not_rule_based,Stratch Genetic Algorithm Strategy Builder,ML,"Futures (NQ, ES, Commodities)","Up to 2 signals tested via genetic algorithm (e.g., RSI > 90, MACD rising, Low crossing below Keltner Channel)",Profit target (40-400 ticks) and stop loss (40-400 ticks); exit on session close for day trading,https://www.youtube.com/watch?v=DWYRfBrNJjM
no_strategy,,,,,,https://www.youtube.com/watch?v=O-EVppcr9LU
no_strategy,,,,,,https://www.youtube.com/watch?v=gu4pafNCXng
not_rule_based,AI Agent Swarm Quantitative Trading Challenge,ML,Cryptocurrency,"Long-only entries when: (1) price in bottom half of range, (2) couple red bars confirmed, (3) AI swarm consensus votes yes on 50-bar 5-minute data",Not specified in transcript,https://www.youtube.com/watch?v=ctmDiTZl8yw
no_strategy,,,,,,https://www.youtube.com/watch?v=PhzO7iTBoMs
no_strategy,,,,,,https://www.youtube.com/watch?v=CUlRmRu43u4
no_strategy,,,,,,https://www.youtube.com/watch?v=gIg3MWPI4Gs
not_rule_based,News Sentiment-Enhanced Time Series Forecasting for Stock Prices,deep-learning,Equities,"Not applicable - forecasting model, not a trading signal strategy","Not applicable - forecasting model, not a trading signal strategy",https://www.youtube.com/watch?v=Wl84xW3BGJU
no_strategy,,,,,,https://www.youtube.com/watch?v=lZ9UNfw0QbM
no_strategy,,,,,,https://www.youtube.com/watch?v=HeBz7-QgAag
no_nameable_indicator,Fundamental Analysis Stock Picking,rule-based,Equities (Small-cap stocks),"Research 20 companies, select small-cap stocks (market cap £50M–£1B, preferably low hundreds of millions) from FTSE 250/Small Cap or S&P Small Cap 600; buy only if business model is simple/understandable, fundamentals are strong, recent share price trending upward, net debt ≤3x profits, bid-offer spread <5%",Cut losses if share price falls 15% below purchase price; sell if target price is reached,https://www.youtube.com/watch?v=ub1ATzH9ZR4
no_concrete_exit,Fibonacci Retracement Trading,rule-based,Forex,"Enter at Fibonacci retracement levels after identifying trend start/end. Two approaches: (1) Aggressive - enter at each level with stop loss on opposite side; (2) Conservative - wait for price to find support/resistance at levels, then enter when price moves back in original trend direction. Look for candlestick patterns like morning star at retracement levels.",Not specified,https://www.youtube.com/watch?v=arDS6Yh4gXs
not_rule_based,MACD RSI 200,ML,cryptocurrency,RSI 8 candles ago < 41 AND close > EMA 200 AND MACD crosses above MACD signal,RSI 5 candles back > 93 AND MACD > 0 AND MACD crosses below MACD signal,https://www.youtube.com/watch?v=HT0bmGeKgVM
not_rule_based,Q-Learning Portfolio Trading Bot,RL,Stocks,Buy action executes when Q-value for buy is highest; buys maximum shares based on cash available,Sell action executes when Q-value for sell is highest; sells all shares of a stock,https://www.youtube.com/watch?v=rRssY6FrTvU
not_rule_based,Stock Market Prediction using Hybrid CNN-GRU Model,deep-learning,stocks,not specified,not specified,https://www.youtube.com/watch?v=CIo3F3v63eI
not_rule_based,Copy Bot AI Agent Strategy,ML,Crypto (Solana tokens),"AI agent analyzes copybot portfolio positions and market data; returns BUY, SELL, or NOTHING recommendation based on LLM analysis",AI agent recommends SELL or NOTHING based on position analysis,https://www.youtube.com/watch?v=frrfFXfG-Rg
not_rule_based,Quantitative News Analytics Trading,sentiment,"Stocks, Commodities, Currencies",Trade when quantified news scores exceed thresholds; prioritize first mention of novel events; filter repeated references to same event,Not explicitly detailed in transcript,https://www.youtube.com/watch?v=JAk20F2IWJ4
no_strategy,,,,,,https://www.youtube.com/watch?v=IzA4mgAs3uQ
prediction_market_or_sports,5-Minute Volatile Market Trading Bot,rule-based,Crypto (Polymarket),Trade only during volatile moments on 5-minute markets; for arbitrage: bid on 5-minute market when 15-minute market is closing,Take 5-6% profit targets; position must stay within price bounds until market close,https://www.youtube.com/watch?v=tZpCEaEcVgM
no_strategy,,,,,,https://www.youtube.com/watch?v=lb28Evfv62A
no_strategy,,,,,,https://www.youtube.com/watch?v=-sgDDdQlEmo
no_strategy,,,,,,https://www.youtube.com/watch?v=7Syuwm9vlJc
not_rule_based,Stock Price Direction Prediction using Sentiment Analysis,ML,Equities,Not specified in transcript,Not specified in transcript,https://www.youtube.com/watch?v=4OlvGGAsj8I
no_strategy,,,,,,https://www.youtube.com/watch?v=6MShnMgA9JY
no_strategy,,,,,,https://www.youtube.com/watch?v=lyE7yhN3T14
not_rule_based,Soft Actor-Critic (SAC) Trading Bot,RL,Equities (30 Dow Jones stocks),"Action space: continuous values from -1 (sell max) to +1 (buy max) per stock, determined by SAC agent",Positions adjusted continuously based on agent actions; reward is change in net worth per step,https://www.youtube.com/watch?v=-yp33fXG5gU
not_rule_based,Stock Price Prediction using Decision Tree and Linear Regression,ML,Equities,Not specified,Not specified,https://www.youtube.com/watch?v=hOLSGMEEwlI
no_strategy,,,,,,https://www.youtube.com/watch?v=wshN6AmDIhE
no_strategy,,,,,,https://www.youtube.com/watch?v=ra67niPdH3M
no_concrete_exit,ChatGPT-Generated Crypto Momentum Strategy,rule-based,Cryptocurrency,Buy when coin price falls by a certain percentage within a certain period,Not specified,https://www.youtube.com/watch?v=V5nSeK4T0Vw
no_strategy,,,,,,https://www.youtube.com/watch?v=AijkaR8qqyk
not_rule_based,One Button Trading AI Bot,deep-learning,Cryptocurrency,AI scans market with 1-4 hour frequency; executes orders automatically after scan completion; top 50 token holders get priority order placement,AI-determined; bot sells at tops and re-enters on dips to continue making profit during market downturns,https://www.youtube.com/watch?v=lkM6Y1ee5T4
not_rule_based,Quant Crawler AI Futures Automation (Ghost Platform),ML,"Futures, Forex, Crypto","AI analysis generates signal with confidence threshold (50-95%, typically 80%); market order entry when confidence met; scalping (1/5/15min), intraday (30min/1hr/4hr), or swing (1hr/4hr/1day) presets available","User-defined stop loss and take profit (e.g., 5pt SL / 10pt TP for gold); optional session close at specified time for prop firm compliance; contrarian mode available to fade signals",https://www.youtube.com/watch?v=DRyU14vI2yk
not_rule_based,Multi-Crypto Trading with Deep Reinforcement Learning,deep-learning,Cryptocurrency,Agent learns entry rules through reinforcement learning exploration and exploitation,Agent learns exit rules through reinforcement learning exploration and exploitation,https://www.youtube.com/watch?v=aJAbgJf6AFM
no_strategy,,,,,,https://www.youtube.com/watch?v=ofzrvCPRRjw
not_rule_based,LSTM-based Stock Price Prediction,deep-learning,"Equities (stocks, indices)",Not specified,Not specified,https://www.youtube.com/watch?v=rc8VloI-RZk
